ID,Gender,Standing_Height,Seated_Height,Weight,Age,Age_PHV,Maturity_Offset,5m_Best (s),10m_Best (s),Change_of_Direction_Best,Vertical_jump_Best,Horizontal_jump_Best
68,F,173.3,90.3,55.7,14.9,12.0,2.9,1.04,1.82,2.90,46,2.11
69,M,155.9,80.1,43.3,13.4,14.3,-0.9,1.01,1.77,2.65,47,2.06
70,F,167.0,87.6,57.1,15.4,12.6,2.8,1.25,2.16,3.30,32,1.48
71,M,169.8,85.8,65.0,14.5,14.0,0.6,1.13,1.99,3.03,54,1.84
72,F,161.0,83.5,60.0,15.2,12.9,2.3,1.10,1.92,3.12,40,1.77
73,M,171.7,89.6,63.2,13.7,13.1,0.6,1.10,1.83,2.70,55,2.02
74,F,162.9,82.4,53.2,13.7,12.3,1.5,1.11,1.99,2.91,49,1.68
75,M,152.2,81.3,36.3,13.6,14.3,-0.8,1.27,2.23,3.15,34,1.29
76,M,186.5,94.7,72.5,15.1,13.1,2.0,1.07,1.85,2.80,41,1.89
77,M,171.7,83.7,59.0,14.1,14.1,0.0,1.17,2.02,2.92,41,1.73
78,F,158.0,80.0,49.4,14.5,12.9,1.6,1.19,2.11,3.20,29,1.65
79,M,180.5,93.6,63.8,15.5,13.5,2.0,1.04,1.79,2.86,49,2.10
80,F,158.5,79.5,56.5,14.6,12.9,1.7,1.26,2.19,3.23,31,1.61
81,F,158.0,85.4,59.6,15.1,12.9,2.3,1.14,2.02,3.16,41,1.59
82,F,169.0,90.0,70.6,13.9,11.6,2.3,1.18,1.97,2.91,42,1.86
83,F,151.2,77.1,35.0,14.0,13.2,0.8,1.18,2.13,3.23,31,1.50
84,F,165.1,86.5,60.4,15.1,12.5,2.5,1.22,2.15,3.23,35,1.54
85,M,176.1,94.5,67.0,14.7,12.9,1.7,1.07,1.78,2.63,63,2.28
86,M,168.0,87.3,53.1,14.7,14.0,0.7,1.07,1.87,3.08,52,2.00
87,F,165.1,86.3,66.5,13.4,11.7,1.7,1.18,2.02,2.95,33,1.60
88,F,169.6,87.4,63.7,14.1,11.9,2.2,1.11,1.94,2.74,46,1.80
89,F,163.2,86.1,47.4,13.8,12.2,1.7,1.18,1.99,3.26,40,1.76
90,M,182.7,93.8,67.9,14.5,13.0,1.6,1.09,1.85,2.79,54,2.17
91,F,160.2,84.2,66.3,15.0,12.8,2.3,1.25,2.18,3.22,28,1.38
92,F,168.6,89.1,55.4,14.1,11.9,2.2,1.30,2.21,3.28,46,1.72
93,M,170.3,85.9,56.1,14.4,14.0,0.4,1.15,1.93,2.92,45,1.93
94,M,174.5,91.0,65.7,14.9,13.5,1.4,1.07,1.84,3.06,49,1.98
95,F,164.2,86.5,56.5,14.7,12.4,2.3,1.20,2.12,3.00,33,1.68
96,F,163.0,84.6,44.8,14.4,12.5,1.9,1.07,1.91,2.86,41,1.67
97,M,169.4,84.2,56.6,14.5,14.3,0.2,1.13,1.97,2.78,48,2.14
98,F,166.3,89.0,63.1,14.2,11.9,2.2,1.18,2.08,3.22,31,1.50
99,M,167.3,85.1,57.5,15.3,14.5,0.7,1.08,1.88,2.81,32,1.95
100,M,161.7,85.1,53.1,13.9,13.9,0.1,1.20,2.09,2.89,37,1.93
101,M,160.6,80.6,48.8,13.7,14.3,-0.7,1.18,2.05,2.80,38,1.95
102,M,176.5,91.6,60.5,14.3,13.2,1.1,1.03,1.80,2.74,57,2.34
103,F,161.2,83.8,43.0,14.2,12.6,1.7,1.16,2.04,3.21,33,1.51
104,F,165.5,83.2,54.0,15.0,12.7,2.3,1.27,2.14,3.15,41,1.53
105,M,180.5,97.6,78.2,14.7,12.4,2.3,1.12,1.98,3.12,44,1.85
106,F,172.4,91.7,65.6,14.5,11.7,2.7,1.16,2.01,3.01,35,1.99
107,F,160.3,79.5,45.9,13.3,12.3,1.0,1.14,2.10,3.18,40,1.55
108,F,154.1,82.1,41.2,13.6,12.6,1.0,1.10,1.93,2.97,42,2.01
109,M,165.5,84.4,49.6,13.4,13.7,-0.3,1.12,1.99,2.99,38,1.92
110,M,153.7,77.5,45.8,13.4,14.6,-1.1,1.06,1.87,2.74,52,2.07
111,F,149.6,80.5,51.2,15.0,13.4,1.6,1.17,2.01,2.96,42,1.70
112,M,174.0,90.5,96.5,14.8,13.1,1.7,1.15,2.01,2.96,43,1.78
,,,,,,,,,,,,
,,,,,,,,,,,64,
